Old Site Name,New Site Name,Remarks
SANPEDROH-237834-1,POBSANPEDLH-338980-1,Replaced by permanent site
SANPEDROH-237834-2,POBSANPEDLH-338980-2,Replaced by permanent site
SANPEDROH-237834-3,POBSANPEDLH-338980-3,Replaced by permanent site
TIMBAOLAGH-237981-1,TIMBAOBINAH-238856-1,Replaced by permanent site
TIMBAOLAGH-237981-2,TIMBAOBINAH-238856-2,Replaced by permanent site
TIMBAOLAGH-237981-3,TIMBAOBINAH-238856-3,Replaced by permanent site
LUMBATH-238030-1,LUMILSNJOSH-339250-1,Replaced by permanent site
LUMBATH-238030-2,LUMILSNJOSH-339250-2,Replaced by permanent site
LUMBATH-238030-3,LUMILSNJOSH-339250-3,Replaced by permanent site
PALANGGEH-237627-1,PALANGUE23H-338947-1,Replaced by permanent site
PALANGGEH-237627-2,PALANGUE23H-338947-2,Replaced by permanent site
PALANGGEH-237627-3,PALANGUE23H-338947-3,Replaced by permanent site
DUHATLAGH-237598-2,MATAHIMIKLH-238827-2,Replaced by permanent site
ARTYSUBDJPH-334309-1,FRANCEVALH,Replaced by permanent site
ARTYSUBDJPH-334309-2,FRANCEVALH,Replaced by permanent site
ARTYSUBDJPH-334309-3,FRANCEVALH,Replaced by permanent site
CENTRO2GUIH-335450-1,GUILERISBH,Replaced by permanent site
CENTRO2GUIH-335450-2,GUILERISBH,Replaced by permanent site
CENTRO2GUIH-335450-3,GUILERISBH,Replaced by permanent site
CENTRO2GUIH-335450-4,GUILERISBH,Replaced by permanent site
EDUQUESTMLH-334181-1,BONIMLAH,Replaced by permanent site
EDUQUESTMLH-334181-2,BONIMLAH,Replaced by permanent site
EDUQUESTMLH-334181-3,BONIMLAH,Replaced by permanent site
GINATANILAH-335256-1,ILAGAN2H,Replaced by permanent site
GINATANILAH-335256-2,ILAGAN2H,Replaced by permanent site
GINATANILAH-335256-3,ILAGAN2H,Replaced by permanent site
WESTBAJACOH-335276-1,OLONGAPOH,Replaced by permanent site
WESTBAJACOH-335276-2,OLONGAPOH,Replaced by permanent site
WESTBAJACOH-335276-3,OLONGAPOH,Replaced by permanent site
COLUMBIAQCH-333826-1,DONANTONIH,Replaced by permanent site
COLUMBIAQCH-333826-2,DONANTONIH,Replaced by permanent site
COLUMBIAQCH-333826-3,DONANTONIH,Replaced by permanent site
CAARDLPH-333759-1,BFRESORTH,Replaced by permanent site
CAARDLPH-333759-2,BFRESORTH,Replaced by permanent site
CAARDLPH-333759-3,BFRESORTH,Replaced by permanent site
ZABARTERDCH-334357-1,SAMANOH,Replaced by permanent site
ZABARTERDCH-334357-2,SAMANOH,Replaced by permanent site
ZABARTERDCH-334357-3,SAMANOH,Replaced by permanent site
SOCATEH-240057-1,,Put on Freeze status due to affected by Fire as advised by NTG
SOCATEH-240057-2,,Put on Freeze status due to affected by Fire as advised by NTG
SOCATEH-240057-3,,Put on Freeze status due to affected by Fire as advised by NTG
BACANIH-336655-3,BACANIH-336655-2,"sector is not yet RFS as per NTG, it is sector 2 that is RFS - 11/25/2020"
NAGUILRLYH-336197-3,NAGUILRLYH-336197-1,sector 1 is the correct RFS node as per NTG - 12082020
